id,smiles,exact_mass,type,C3,C6,C20,C26,C28,Other
Medicagenic acid 3-O-b-D-glucuronide 28-O-[b-D-xylosyl-(1-&gt;4)-a-L-rhamnosyl-(1-&gt;2)-a-L-arabinosyl] ester,CC1OC(OC2C(O)C(O)COC2OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CC(O)C(OC6OC(C(O)C(O)C6O)C(O)=O)C(C)(C5CCC4(C)C2(C)CC3)C(O)=O)C(O)C(O)C1OC1OCC(O)C(O)C1O,1088.5039534400005,OA,1,,,,3,
Melilotussaponin O1,CC1OC(OC2C(OC3C(O)C(O)C(OC3OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CC(O)C6(C)CCC54C)C3(C)CO)C(O)=O)OC(CO)C(O)C2OC2OCC(O)C(O)C2O)C(O)C(O)C1O,1074.5610743920004,OL,4,,,,,
Ginsenoside M7cd,CC(=C)C(O)CCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(O)CC21C,654.4342982,PPT,,,1,,,
Vinaginsenoside R12,CC(C)(O)C(O)CCC(C)(O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(CO)C(O)C(O)C1O,672.4448629,PPT,,1,,,,
"(2a,3b,5a,6a,22R,25R)-Furostane-22-methoxy-2,3,6,26-tetrol 3-[glucosyl-(1-&gt;2)-[xylosyl-(1-&gt;3)]-glucosyl-(1-&gt;4)-galactoside] 26-glucoside",COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C2C1C,1260.5986416720002,SS,4,,,1,,
Vinaginsenoside R14,CC(O)(CO)C1CCC(C)(O1)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(CO)C(O)C(O)C1OC1OCC(O)C(O)C1O,802.4714715400002,PPT,,2,,,,
Spinacoside D,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(O)=O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(O)=O,764.3983065999998,OA,1,,,,,
Collettiside I,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,576.3662186239998,SS,1,,,,,
Pitheduloside B,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(O)=O,882.4976862880001,OA,3,,,,,
MSBNK-RIKEN-PR308620,CC(C)=CCC=C(C)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC12C,766.4867277,PPD,2,,,,,
Lucyoside Q,CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC2(CC1O)C(=O)OC1OC(CO)C(O)C(O)C1O,634.4080834,OA,,,,,1,
Araliasaponin III,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C6O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,1090.5559890120005,OA,3,,,,1,
Vinaginsenoside R6,CC(C)(O)C1CCC(C)(O1)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OCC(O)C(O)C1O,948.5293803400002,PPT,,3,,,,
Notoginsenoside I,CC(C)=CCCC(C)(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1CCC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,1092.6080245840003,PPD,2,,2,,,
Achyranthoside C,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(O)C(O)=O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,956.4616947,OA,1,,,,1,
Torvoside E,COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC(OC5OC(C)C(O)C(O)C5O)C5CC(=O)CCC5(C)C4CCC3(C)C2C1C,770.4452567919999,SS,,1,,1,,
PR308901,O=C(O)C46(CCC(C)(C)CC6(C3=CCC2C5(C)(CCC(OC1OC(CO)C(O)C(O)C1(O))C(C)(CO)C5(CCC2(C)C3(C)CC4)))),634.4080834359999,OA,1,,,,,
Saponin D,CC1OC(OC2C(O)C(O)C(CO)OC2OC2CCC3(C)C(CCC4(C)C3CCC3C5C6(CC43CO6)OC(CC5(C)OC3OC(C)C(O)C(O)C3O)C=C(C)C)C2(C)C)C(O)C(O)C1O,926.5239010360002,Other,2,,1,,,
CCMSLIB00012426745,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,956.4980802,OA,3,,,,,
Lupeoside,CC(=C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(OC6OC(CO)C(OC7OCC(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC34C)C12,720.4812483759998,Other,2,,,,,
Cloversaponin I,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6O)C(O)=O)C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(=O)C1,632.3924333719998,OL,1,,,,,
Kudzusaponin SA2,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(OC2OCC(O)C(O)C2O)C1O,944.4980802,OL,1,,,,,C22:1
Acutoside D,CC1OC(OC2C(O)C(O)COC2OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C2(C)CC3)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)C(O)C2O)C1O,1322.6506772439996,OA,2,,,,4,
"(3b,5a,25R)-3-Hydroxyspirostan-6-one 3-[2-acetylarabinosyl-(1-&gt;6)-glucoside]",CC1C2C(CC3C4CC(=O)C5CC(CCC5(C)C4CCC23C)OC2OC(COC3OCC(O)C(O)C3OC(C)=O)C(O)C(O)C2O)OC11CCC(C)CO1,766.4139567,SS,2,,,,,
Medicagenic acid 3-O-[b-D-glucosyl-(1-&gt;6)-b-D-glucosyl-(1-&gt;3)-b-D-glucoside],CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(OC7OC(COC8OC(CO)C(O)C(O)C8O)C(O)C(O)C7O)C6O)C(C)(C5CCC34C)C(O)=O)C2C1)C(O)=O,988.4879094520002,OA,3,,,,,
Vinaginsenoside R3,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1CCC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,930.5552011640002,PPD,2,,1,,,
VF-NPL-QEHF015878,CC1CCC2(C(=O)OC3OC(COC4OC(CO)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2C1C,958.5137303,OA,,,,,3,
Ginsenosides,CC(C)=CCCC(C)(O)C1CCC2(C)C1CCC1C3(C)CCC(O)C(C)(C)C3CCC21C,444.3967309,PPD,,,,,,
Sativoside R1,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(OC2OCC(O)C(O)C2O)C1O)COC1OC(CO)C(O)C(O)C1O,1376.6459857879995,SS,5,,,1,,
Assamsaponin F,C\C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OC(CO)C(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC34C)C2CC1(C)C)OC(C)=O,1302.588077,OL,4,,,,,
Betavulgaroside IV,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(O)C(O)=O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(O)=O,794.4088712839999,OA,1,,,,,
Silenoside C,CC1OC(OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC4(C)C2(C)CC3O)C(OC2OC(C)C(OC3OCC(O)C(O)C3O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1542.672594459999,OA,3,,,,4,
Mabiogenin 3-[rhamnosyl-(1-&gt;6)-glucoside],[H][C@@]12C(=O)O[C@H](CC=C(C)C)[C@]1(C)O[C@H](O)[C@]1(C)[C@]2([H])CCC2[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)C3CC[C@@]12C,796.4609069,SS,2,,,,,
Asparagoside G,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O)COC1OC(CO)C(O)C(O)C1O,1082.5509036320004,SS,3,,,1,,
Assamsaponin J,CC1OC(OC2C(O)C(O)COC2OC2C(O)C(OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)C(OC(C)=O)C(OC(=O)\C=C\C7=CC=CC=C7)C6(CO)C(CC54C)OC(C)=O)C3(C)C)C2OC2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)C(O)C1O,1320.6138978119995,OA,4,,,,,
RIKENPlaSMA008386,CC1(C)CC(O)C2(C)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(CO)C5CCC34C)C2C1,958.5137302760002,OL,3,,,,,
Cyclopassifloside IV,CC(C)C(O)(CO)CCC(C)(O)C1CCC2(C)C3CCC4C5(CC35CCC12C)C(O)CC(O)C4(C)C(=O)OC1OC(CO)C(O)C(O)C1O,698.4241274,Other,,,,,,C4:1
Melongoside M,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(OC3OC(C)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C2OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,1208.5825976840003,SS,5,,,,,
Capsicoside B1,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,756.4296067279998,SS,2,,,,,
Hebevinoside VII,CC(CCC=C(C)C)C1C(CC2(C)C3C(O)C=C4C(CCC(OC5OCC(O)C(O)C5O)C4(C)C)C3(C)CCC12C)OC1OC(COC(C)=O)C(OC(C)=O)C(O)C1O,836.4922069840002,Other,1,,,,,C16:1
VF-NPL-QEHF015782,CC1OC(OC2C(OC3C(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CC(O)C7(C)CCC56C)C4(C)C)OC(C(=O)O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,926.5239010360004,OL,3,,,,,
RIKENPlaSMA007749,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1C)C(=O)OC1OC(COC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,958.5137302760004,OA,,,,,3,
